Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by	UniqueSpec	UniqueSpecSum	UniqueAvgSpec	PreySequenceLength
AMOT_HeLa	411147363	ABCB7	0|1	1	0.5	2	2|1|0|0|2|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|1|0	0	0	0	0	0	-8.63	0.33	0.92		0|1	1	0.5	752
AMOT_HeLa	4506341	ABCD3	4|4	8	4	2	3|5|5|5|0|0|0|0|0|0|13|4|11|4|15|7|10|5|4|4|7|6|2|3|2|4|8|12	0	0	0	0	0	-45.47	0.31	0.92		4|4	8	4	659
AMOT_HeLa	10947135	ABCF1	2|0	2	1	2	6|6|6|5|1|0|0|0|0|0|7|5|4|1|2|3|7|5|14|11|9|7|5|3|3|2|3|0	0	0	0	0	0	-46.97	0.1	0.92		2|0	2	1	807
AMOT_HeLa	51173711	ABLIM1	2|5	7	3.5	2	0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|1|2|0|0|0|0|0|0|0|0|0|0	0.18	0.35	0.18	0.35	0.18	-4.44	2.8	0.38		2|5	7	3.5	778
AMOT_HeLa	38679960	ACACA	299|404	703	351.5	2	41|27|128|176|587|475|399|598|510|437|571|590|430|252|317|482|585|557|253|240|253|210|236|261|322|305|290|317	0	0	0	0	0	#NAME?	0.6	0.92		299|404	703	351.5	2383
AMOT_HeLa	134142062	ACACB	11|23	34	17	2	0|0|0|0|35|35|28|45|45|40|35|33|14|3|16|14|28|26|0|0|0|3|0|0|0|0|0|2	0	0	0	0	0	-146.85	0.41	0.92		11|23	34	17	2458
AMOT_HeLa	259906018	ACIN1	3|0	3	1.5	2	25|39|57|81|0|0|1|1|0|0|7|48|34|24|41|12|34|14|55|64|74|51|52|110|64|54|67|57	0	0	0	0	0	-372.67	0.02	0.92		3|0	3	1.5	1328
AMOT_HeLa	38569421	ACLY	1|4	5	2.5	2	3|4|0|0|2|2|2|2|2|2|7|4|0|5|5|5|2|2|0|1|0|0|0|0|0|1|0|0	0	0	0	0	0	-22.81	0.45	0.83		1|4	5	2.5	1101
AMOT_HeLa	81295404	ACOT9	1|5	6	3	2	0|1|0|0|11|11|10|16|14|11|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-55.24	0.23	0.9		1|5	6	3	439
AMOT_HeLa	42794752	ACSL3	2|2	4	2	2	3|0|0|0|2|3|3|3|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-10.6	0.67	0.76		2|2	4	2	720
AMOT_HeLa	4501881	ACTA1	5|9	14	7	2	6|5|2|3|5|8|6|6|6|8|4|3|7|3|7|5|3|0|6|4|4|5|0|6|5|0|11|10	0	0	0	0	0	-29.12	0.76	0.86		5|9	14	7	377
AMOT_HeLa	316659409	ACTG1	32|34	66	33	2	18|30|27|37|44|28|32|49|41|50|19|28|21|17|51|12|32|13|23|25|24|22|22|50|36|53|29|29	0	0	0	0	0	-139.91	0.65	0.92		32|34	66	33	375
AMOT_HeLa	12025678	ACTN4	0|1	1	0.5	2	4|1|16|22|9|10|13|4|1|2|5|0|0|0|11|0|0|0|11|23|6|14|14|9|9|7|0|0	0	0	0	0	0	-85	0.03	0.92		0|1	1	0.5	911
AMOT_HeLa	5031569	ACTR1A	4|0	4	2	2	6|5|0|0|0|0|0|0|0|0|14|8|10|10|7|13|14|8|0|0|0|0|0|0|0|0|2|2	0	0	0	0	0	-58.12	0.16	0.9		4|0	4	2	376
AMOT_HeLa	5031571	ACTR2	1|0	1	0.5	2	0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-3.93	2	0.92		1|0	1	0.5	394
AMOT_HeLa	47078295	ADA	0|1	1	0.5	2	0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0	0	0	0	0	0	-3.93	2	0.92		0|1	1	0.5	363
AMOT_HeLa	301601658	ADAR	10|13	23	11.5	2	15|8|15|18|3|2|5|2|0|1|23|18|18|7|27|7|15|5|15|16|16|16|12|13|9|5|16|7	0	0	0	0	0	-67.51	0.53	0.91		10|13	23	11.5	931
AMOT_HeLa	29826319	ADD1	4|0	4	2	2	9|11|0|0|0|0|0|0|0|0|15|12|7|7|15|5|10|6|0|0|1|1|0|0|0|0|0|0	0	0	0	0	0	-60.34	0.15	0.9		4|0	4	2	737
AMOT_HeLa	12229217	ADNP	9|2	11	5.5	2	13|26|55|70|0|0|0|0|0|0|37|47|51|20|37|18|33|17|58|58|59|50|28|59|48|78|46|66	0	0	0	0	0	-296.45	0.08	0.92		9|2	11	5.5	1102
